date,experimentId,experimentVariant,deviceCategory,userType,sessions,users,transactionRevenue,transactions,addToCart
2021-10-02,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,2614,1241,3.38915769,189,164.0
2021-10-07,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,8861,3971,8.299217669999999,462,483.0
2021-10-06,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,desktop,Returning Visitor,8636,3933,8.72928364,489,573.0
2021-09-21,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,252,115,0.29124758,23,6.0
2021-10-09,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,259,121,0.42609562,37,5.0
2021-10-12,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,564,271,0.5875917700000001,45,6.0
2021-10-13,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,469,240,0.39063924,37,9.0
2021-10-13,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,632,269,0.34981238,23,14.0
2021-10-17,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,304,142,0.3580187,29,9.0
2021-10-18,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,593,282,0.34215755999999997,29,10.0
2021-10-19,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,610,272,0.61977393,56,12.0
2021-10-20,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,571,255,0.5375477900000001,47,14.0
2021-10-21,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,591,293,0.27543601,29,6.0
2021-10-22,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,624,284,0.32745852000000003,28,9.0
2021-10-23,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,304,151,0.55782298,27,18.0
2021-10-23,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,331,165,0.2580426,25,13.0
2021-10-24,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,413,186,0.76262323,53,44.0
2021-10-25,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,655,316,0.39972174,28,5.0
2021-10-26,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,707,327,0.5315889,36,2.0
2021-10-27,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,695,312,0.36202295,32,33.0
2021-10-27,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,771,354,0.41971105,36,10.0
2021-10-28,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,708,340,0.77417298,45,30.0
2021-10-28,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,856,376,0.98904305,75,29.0
2021-10-29,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,740,314,0.94697776,43,10.0
2021-10-30,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,390,180,0.33236696000000004,27,6.0
2021-10-30,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,407,200,0.54206836,58,36.0
2021-10-31,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,451,207,0.24736099,24,11.0
2021-10-31,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,467,229,0.64290911,54,14.0
2021-11-01,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,803,360,0.67580088,40,15.0
2021-11-01,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,919,397,1.02293759,70,30.0
2021-11-01,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,mobile,Returning Visitor,492,231,0.2567085,24,17.0
2021-11-02,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,777,366,0.5223881699999999,44,16.0
2021-11-02,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,880,383,1.23663377,90,20.0
2021-11-03,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,673,323,0.6305485500000001,53,17.0
2021-11-03,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,772,355,0.82631779,46,21.0
2021-11-04,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,508,258,0.44641760999999996,56,18.0
2021-11-05,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,488,228,0.46818909000000003,42,11.0
2021-11-07,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,452,240,0.26812881,44,6.0
2021-11-08,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,808,378,0.7776918199999999,41,25.0
2021-11-08,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,850,399,0.8098391899999999,50,22.0
2021-11-09,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,0,desktop,Returning Visitor,763,353,0.5058902399999999,43,12.0
2021-11-09,397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f,1,desktop,Returning Visitor,811,373,0.77043498,38,23.0
